2025-01-22 15:31:57.211 [info] Starting Python Locator /home/kraoshin/.vscode-server/extensions/ms-python.python-2024.22.2-linux-x64/python-env-tools/bin/pet server
2025-01-22 15:31:58.014 [info] Discovered env: /usr/bin/python3
2025-01-22 15:31:58.046 [info] Discovered env: /bin/python3
2025-01-22 15:31:58.916 [info] Resolved Python Environment /bin/python3
2025-01-22 15:32:00.104 [info] Locator Conda took 4.068896817s
2025-01-22 15:32:00.104 [info] Locator Homebrew took 313.841µs
2025-01-22 15:32:00.104 [info] Locator LinuxGlobal took 47.160492ms
2025-01-22 15:32:00.104 [info] Locator PipEnv took 25.335µs
2025-01-22 15:32:00.104 [info] Locator Poetry took 21.488885ms
2025-01-22 15:32:00.104 [info] Locator PyEnv took 21.705317ms
2025-01-22 15:32:00.104 [info] Locator Venv took 19.872µs
2025-01-22 15:32:00.104 [info] Locator VirtualEnv took 270.164µs
2025-01-22 15:32:00.104 [info] Locator VirtualEnvWrapper took 31.574µs
2025-01-22 15:32:00.104 [info] Locator GlobalVirtualEnvs took 2.588882ms
2025-01-22 15:32:00.104 [info] Locator Locators took 4.069289454s
2025-01-22 15:32:00.104 [info] Locator Path took 287.135095ms
2025-01-22 15:32:00.104 [info] Locator Workspaces took 12.489485ms
2025-01-22 15:32:00.104 [info] Refresh completed in 4069ms
2025-01-22 15:34:27.319 [info] Resolved Python Environment /bin/python3
